youtube_id,title,is_premium,serie_id,channel_name,channel_handle,language
ipr3SKG7o_o,"Erika and Nagi's First Kiss | A Couple of Cuckoos Season 2",false,69,"Crunchyroll",@crunchyroll,ja
hMfZ8g_WXNQ,"Him: “Lets Break Up” Her: “No” | Rent-a-Girlfriend Season 4",false,1,"Crunchyroll",@crunchyroll,ja
_xlpe5CSvV0,"No One Can Be Your Friend Except Me! | See You Tomorrow at the Food Court",false,126,"Crunchyroll",@crunchyroll,ja
qFuNIMriIU4,"He Interprets All Insults as Compliments | Dealing with Mikadono Sisters Is a Breeze",false,98,"Crunchyroll",@crunchyroll,ja
OyOPv7R4Pjc,"Why the Hell Does a Vending Machine Have a Harem? | Reborn as a Vending Machine",false,32,"Crunchyroll",@crunchyroll,ja
7K0e3CgTaLw,"Rejected Her For the Bit | A Couple of Cuckoos Season 2",false,69,"Crunchyroll",@crunchyroll,ja
Lh_MQxG6eyc,"Cat Sniffer | Dealing with Mikadono Sisters Is a Breeze",false,98,"Crunchyroll",@crunchyroll,ja
7K0e3CgTaLw,"Rejected Her For the Bit | A Couple of Cuckoos Season 2",false,69,"Crunchyroll",@crunchyroll,ja
_aK48VZiuKQ,"Raphtalia Has the Mandate of Heaven | The Rising of the Shield Hero Season 4",false,37,"Crunchyroll",@crunchyroll,ja
RK4Tfs5BPfo,"The LEAST Romantic Way to Feed Someone | A Couple of Cuckoos Season 2",false,69,"Crunchyroll",@crunchyroll,ja
6VK19o9fufE,"Chizuru Rejects Kazuya For Like the 13th Time or Something | Rent-a-Girlfriend Season 4",false,1,"Crunchyroll",@crunchyroll,ja
vkLxjUsEtqA,"Can't Stand Normal Conversation | See You Tomorrow at the Food Court",false,126,"Crunchyroll",@crunchyroll,ja
7f_Yhpq6-qU,"Yuu Wants One Thing and It's Wholesome | Dealing with Mikadono Sisters Is a Breeze",false,98,"Crunchyroll",@crunchyroll,ja
NmSsKJMSPbE,"Remlin Hit the Full XD Face | Gachiakuta",false,-1,"Crunchyroll",@crunchyroll,ja
pP3PprEc7Wc,"Heaven is on Ruka's Side! | Rent-a-Girlfriend",false,1,"Crunchyroll",@crunchyroll,ja
Jrb-R1imWFU,"Relativistic Piggyback Ride | Fire Force",false,94,"Crunchyroll",@crunchyroll,ja
hVkMAxAV63c,"Didn't Know You Could Heal That! | The Brilliant Healer's New Life in the Shadows",false,122,"Crunchyroll",@crunchyroll,ja
oRsJLcHILiI,"Sometimes You Have To Sneak Around With Your Brother | The Shiunji Family Children",false,132,"Crunchyroll",@crunchyroll,ja
CKTNykikRjE,"She Ate a Bomb on Accident | The Brilliant Healer's New Life in the Shadows",false,122,"Crunchyroll",@crunchyroll,ja
VxnuLS0QtaA,"Maomao Gets ""Tortured"" | The Apothecary Diaries",false,70,"Crunchyroll",@crunchyroll,ja
811X18YM9EU,"Kudo Gets Dumped | Kowloon Generic Romance",false,96,"Crunchyroll",@crunchyroll,ja
yAeSNtUUSng,"Hit Her With The Apology Hug to Kiss Combo | I Left My A-Rank Party",false,134,"Crunchyroll",@crunchyroll,ja
s3rptjJy5Pg,"A Fun Beach Day, Until… | Food for the Soul",false,93,"Crunchyroll",@crunchyroll,ja
r03tWnXKIRg,"The Roly-Poly Defense | WIND BREAKER",false,119,"Crunchyroll",@crunchyroll,ja
JH8ko7Hkw2g,"He Never Stopped Liking Them | Kowloon Generic Romance",false,96,"Crunchyroll",@crunchyroll,ja
nkgVWs_g5Ao,"Can Siblings Be Soulmates? | The Shiunji Family Children",false,132,"Crunchyroll",@crunchyroll,ja
1fMoHDxsgGg,"Sister Wedding | I've Been Killing Slimes for 300 Years and Maxed Out My Level",false,10,"Crunchyroll",@crunchyroll,ja
